seed,perplexity,gamma,global_spearman
191664964,30,0.0,0.3877165052292688
191664964,30,0.5,0.3703729413691851
191664964,30,0.7,0.3543616239559767
191664964,30,1.0,0.2902616583336297
191664964,30,1.2,0.2743520833520466
191664964,30,1.5,0.2694519720513682
191664964,30,2.0,0.21496924841368478
1662057958,30,0.0,0.38291310482640867
1662057958,30,0.5,0.3799063433695363
1662057958,30,0.7,0.3548784674640554
1662057958,30,1.0,0.28808820108605043
1662057958,30,1.2,0.2717358805863884
1662057958,30,1.5,0.26816723362623457
1662057958,30,2.0,0.21556322565930378
1405681632,30,0.0,0.38065541418441007
1405681632,30,0.5,0.3734834098233959
1405681632,30,0.7,0.35270829474077253
1405681632,30,1.0,0.290292823103146
1405681632,30,1.2,0.2690175229512284
1405681632,30,1.5,0.2709682940954074
1405681632,30,2.0,0.21496306736793847
942484272,30,0.0,0.38831606290302767
942484272,30,0.5,0.3782372796604502
942484272,30,0.7,0.35159805991591636
942484272,30,1.0,0.29112372952574167
942484272,30,1.2,0.2815327382250613
942484272,30,1.5,0.27014678851941504
942484272,30,2.0,0.21721228197853598
929893138,30,0.0,0.38493197733600654
929893138,30,0.5,0.3740818265173729
929893138,30,0.7,0.3553297930558875
929893138,30,1.0,0.29270134101507617
929893138,30,1.2,0.2665812745131904
929893138,30,1.5,0.2688669496301525
929893138,30,2.0,0.21540595358339754
191664964,50,0.0,0.42373507634961083
191664964,50,0.5,0.39158983950062587
191664964,50,0.7,0.3851291856289206
191664964,50,1.0,0.34646579283719786
191664964,50,1.2,0.29100558989815506
191664964,50,1.5,0.27040262194993997
191664964,50,2.0,0.2116409384893264
1662057958,50,0.0,0.42853725000413856
1662057958,50,0.5,0.39137680305710576
1662057958,50,0.7,0.3818688642213569
1662057958,50,1.0,0.34791822798844685
1662057958,50,1.2,0.29170409292433286
1662057958,50,1.5,0.27338226485431116
1662057958,50,2.0,0.22684989553245022
1405681632,50,0.0,0.4233963911032418
1405681632,50,0.5,0.3940150765502151
1405681632,50,0.7,0.3878158521863251
1405681632,50,1.0,0.34829519513528345
1405681632,50,1.2,0.2904954480541667
1405681632,50,1.5,0.2736133164406563
1405681632,50,2.0,0.259896606682124
942484272,50,0.0,0.4289446142427823
942484272,50,0.5,0.39374416802408546
942484272,50,0.7,0.3842756839658819
942484272,50,1.0,0.34787683371198763
942484272,50,1.2,0.28925486307155
942484272,50,1.5,0.2730078663139873
942484272,50,2.0,0.2579644208263676
929893138,50,0.0,0.4356956204999605
929893138,50,0.5,0.38715406980914285
929893138,50,0.7,0.3794907642349678
929893138,50,1.0,0.34553302745587844
929893138,50,1.2,0.2925248511045532
929893138,50,1.5,0.27280258163872356
929893138,50,2.0,0.21183752204284662
191664964,100,0.0,0.47228041733473675
191664964,100,0.5,0.444834960079506
191664964,100,0.7,0.4235619822783593
191664964,100,1.0,0.3817697905781226
191664964,100,1.2,0.36542698565095255
191664964,100,1.5,0.2814124222247655
191664964,100,2.0,0.28215218566188327
1662057958,100,0.0,0.471399991655847
1662057958,100,0.5,0.4413349537371598
1662057958,100,0.7,0.4232336687801179
1662057958,100,1.0,0.381049052627822
1662057958,100,1.2,0.363854137860031
1662057958,100,1.5,0.2822294919113844
1662057958,100,2.0,0.2751913539373131
1405681632,100,0.0,0.47111972059043333
1405681632,100,0.5,0.44004925302143694
1405681632,100,0.7,0.4255798643374229
1405681632,100,1.0,0.3809673519534245
1405681632,100,1.2,0.3622633150909445
1405681632,100,1.5,0.2847973458199106
1405681632,100,2.0,0.27645084921910124
942484272,100,0.0,0.4794089614331837
942484272,100,0.5,0.4392448438492486
942484272,100,0.7,0.4245843734614145
942484272,100,1.0,0.38230017805963573
942484272,100,1.2,0.3654662592851265
942484272,100,1.5,0.28237605235751134
942484272,100,2.0,0.27687913078400733
929893138,100,0.0,0.477071976279561
929893138,100,0.5,0.4411707836153725
929893138,100,0.7,0.43125210647560874
929893138,100,1.0,0.38026685568155816
929893138,100,1.2,0.36740379062940964
929893138,100,1.5,0.2774190626597299
929893138,100,2.0,0.27508539647439706
191664964,200,0.0,0.500105308394767
191664964,200,0.5,0.48766214946860625
191664964,200,0.7,0.47120225618783523
191664964,200,1.0,0.42687040524861974
191664964,200,1.2,0.38527240331102985
191664964,200,1.5,0.34840562605901926
191664964,200,2.0,0.2689360543501785
1662057958,200,0.0,0.49933011063663885
1662057958,200,0.5,0.49175969908049333
1662057958,200,0.7,0.4690750566689883
1662057958,200,1.0,0.4273058038528335
1662057958,200,1.2,0.39131506141963207
1662057958,200,1.5,0.3483588051865217
1662057958,200,2.0,0.2704697006388107
1405681632,200,0.0,0.4984686477362535
1405681632,200,0.5,0.49037232372262685
1405681632,200,0.7,0.46896316938816734
1405681632,200,1.0,0.4294321149845129
1405681632,200,1.2,0.3941359816366225
1405681632,200,1.5,0.34786558044400495
1405681632,200,2.0,0.27012642895311134
942484272,200,0.0,0.5011052017771619
942484272,200,0.5,0.49488481680237373
942484272,200,0.7,0.4684862349778469
942484272,200,1.0,0.4289351331961132
942484272,200,1.2,0.39254613299783686
942484272,200,1.5,0.3519764851300499
942484272,200,2.0,0.27425157350219415
929893138,200,0.0,0.4979362931948384
929893138,200,0.5,0.4940372199466245
929893138,200,0.7,0.46898268873100396
929893138,200,1.0,0.42702437995640247
929893138,200,1.2,0.3916306955787344
929893138,200,1.5,0.34928494288247647
929893138,200,2.0,0.2696305617172711
