scope,measure,tightness,peak_center,band_lo,band_hi,peak_value,n_points
mnist,thr_c0.25,0.02141167633672715,3.9737355976559168,0.7476354217018578,3.9737355976559168,0.3571200263736263,450
fashion_mnist,thr_c0.25,0.025967849213230636,1.7304836018493501,0.49504400721450725,6.049105640363653,0.3883197467120181,450
mouse,thr_c0.25,0.05327265924749775,0.7713654746490454,0.2223338608716122,4.051348896166015,0.5244957544810622,450
pooled,thr_c0.25,0.08172258728335602,1.1351863065912164,0.061013539939281415,9.161224284635368,0.42008158049083166,1350
mnist,thr_c0.5,0.020631645739789685,1.5854399817080156,0.6743033985531188,3.7277284097809553,0.3606034901277584,450
fashion_mnist,thr_c0.5,0.024261993656645234,1.5923209686760698,0.44233646471744925,3.7400940956942517,0.3926314300751879,450
mouse,thr_c0.5,0.05032497955883755,0.6944097387246687,0.12702465190750853,3.796151990928298,0.5272231683930952,450
pooled,thr_c0.5,0.07907766521152326,1.5854399817080156,0.07954615733077768,8.764733611749685,0.4220900373773554,1350
mnist,thr_c1.0,0.023508289567303952,0.9399557273628087,0.3918304351624597,2.2548446728897553,0.35330311644204854,450
fashion_mnist,thr_c1.0,0.026714263125976932,0.6096605063709195,0.25436478084308334,2.26221921852128,0.3898818465608465,450
mouse,thr_c1.0,0.0553555070391615,0.9622646688795996,0.04578977856415184,2.2969900334291027,0.5228582716878578,450
pooled,thr_c1.0,0.08444375670428589,0.6068799400919557,0.04396176157478304,5.409110611118,0.42095649489422166,1350
mnist,participation_ratio,0.01931510609536626,0.7889664574521799,0.3169852264305093,1.2447103442075562,0.3765852909774436,450
fashion_mnist,participation_ratio,0.020044261182558816,0.7927927191868054,0.3188471024505798,1.9712278730619075,0.3996621587301587,450
mouse,participation_ratio,0.056775189846772975,0.13077495019222612,0.03350055223495567,3.1378146760090506,0.5157750352148808,450
pooled,participation_ratio,0.07342573771008945,1.2447103442075562,0.032433231853054814,3.0980456782859065,0.43168637354488215,1350
mnist,two_pow_entropy,0.01951169087631587,1.3593229187584386,0.5575760907431532,2.1224227282781776,0.3715173597278911,450
fashion_mnist,two_pow_entropy,0.0234927131332028,1.3658164553728867,0.3594140734260102,2.131366300977298,0.39888889849624054,450
mouse,two_pow_entropy,0.05794650545195801,1.3879507995357976,0.040069975732943394,3.367152757028908,0.5154635945764419,450
pooled,two_pow_entropy,0.07748926045684215,1.3593229187584386,0.06008387042336164,5.174285457608222,0.43162365590746904,1350
