rho,gamma,seed,no_at_10,no_at_30,no_at_100,auc_near,auc_mid
15,0.0,0,0.0901819560272934,0.1793404094010614,0.3281652767247915,0.055586693863797734,0.2277676644004118
15,0.0,1,0.08991660348749052,0.17894869850897144,0.32862774829416225,0.056305206565820665,0.22750900046968328
15,0.0,2,0.09040940106141016,0.17935304523629012,0.3293366186504928,0.05619061157442508,0.22842630058694224
15,0.0,3,0.09059893858984079,0.17936568107151882,0.3291319181197877,0.056517789450882705,0.22820798577213255
15,0.375,0,0.12835481425322215,0.1995703816022239,0.32606141015921153,0.09271267314102796,0.23846991826718927
15,0.0,4,0.08965125094768764,0.17939095274197625,0.3294541319181198,0.05656434648663611,0.22797185559868308
15,0.375,1,0.12717968157695222,0.19831943391458176,0.3246588324488249,0.09253157454541078,0.23782169229499991
15,0.375,2,0.12896133434420015,0.20037907505686126,0.3253904473085671,0.09347118427861414,0.23868193585259928
15,0.375,3,0.1293025018953753,0.19914076320444782,0.326262319939348,0.09299737054285954,0.23880904896047267
15,0.375,4,0.12945413191811977,0.19820571139752338,0.3263760424564064,0.09440792086356908,0.23803478462233313
15,0.75,0,0.20447308567096284,0.20607783674500885,0.296800606520091,0.2241746693623115,0.2339561328997389
15,0.75,1,0.20742987111448066,0.20724033358605004,0.2959135708870356,0.22648853147526388,0.23410221331303518
15,0.75,3,0.20458680818802122,0.20641900429618398,0.29642911296436697,0.22650307772843786,0.2337751159990426
15,0.75,2,0.205420773313116,0.20636846095526915,0.2962585291887794,0.22778550970552486,0.23345003137913736
15,1.125,0,0.2055724033358605,0.18436947182208743,0.26565579984836996,0.2878576693502774,0.2086586984233537
15,0.75,4,0.20523123578468536,0.20640636846095528,0.2969522365428355,0.22372918095719463,0.23412287708769833
15,1.125,1,0.20318423047763456,0.18362395754359362,0.26574298711144806,0.28670024188598864,0.20824931152814713
15,1.125,2,0.20451099317664898,0.1814126863785696,0.26301743745261563,0.2863559304186673,0.20652609861235582
15,1.125,3,0.2062926459438969,0.1825372757139247,0.2636087945413192,0.28700132074563467,0.20764092034471018
15,1.125,4,0.20253980288097043,0.18305534495830175,0.2635178165276725,0.28718505180692444,0.20731600975990036
15,1.5,0,0.19552691432903715,0.1680439727065959,0.2483737680060652,0.2883007509296364,0.19169646238730417
15,1.5,2,0.19211523881728582,0.167172100075815,0.24755496588324488,0.2848250388100653,0.19192964350067535
15,1.5,1,0.19583017437452616,0.1671847359110437,0.24519332827899923,0.2886880844073793,0.1910074650599828
15,1.5,3,0.1959059893858984,0.16722264341672985,0.24565200909780135,0.2868169278072614,0.19169778498062393
15,1.5,4,0.1950341167551175,0.1658200657063432,0.24535633055344958,0.2886860837334681,0.18923988470241984
15,1.875,1,0.18646702047005306,0.15713924690422038,0.23576952236542836,0.28317204592223544,0.18100422575828798
15,1.875,0,0.18771796815769523,0.1581880212282032,0.23362774829416225,0.2847285401398365,0.18118475226847647
15,1.875,3,0.1856330553449583,0.1570128885519333,0.23041319181197878,0.28177766646208646,0.1795418049152337
15,1.875,2,0.18684609552691434,0.1582006570634319,0.23260045489006823,0.2847502466996402,0.18065975696576886
15,2.25,0,0.1819939347990902,0.15284306292645944,0.22634950720242608,0.2814546854880441,0.17565172437676435
15,2.25,1,0.183131159969674,0.15438463482436188,0.2275549658832449,0.281162737523617,0.1761571529656903
15,1.875,4,0.18790750568612585,0.15912307303512763,0.23485974222896133,0.2857340216855001,0.18188092288278618
15,2.25,2,0.18180439727065958,0.15211018448319433,0.22315011372251706,0.2813851583089642,0.173679122859805
15,2.25,3,0.1808188021228203,0.15068233510235027,0.2262357846853677,0.2809263571488742,0.1742704541917837
15,2.25,4,0.18134950720242607,0.14807935304523628,0.22317664897649733,0.2820700205783602,0.17155227852723187
15,2.625,0,0.1793404094010614,0.15082132928986605,0.22101592115238816,0.27913376836708903,0.17183219956090873
15,2.625,1,0.17789992418498862,0.1491028556987617,0.21872630780894617,0.2788555994801256,0.16984747908350137
15,3.0,0,0.1766868840030326,0.1456153651756381,0.21311978771796816,0.27759433252704674,0.16606280769648038
15,2.625,2,0.1785822592873389,0.14747283295425828,0.21309704321455647,0.2787563780882583,0.16679097061718862
15,2.625,3,0.17835481425322214,0.149090219863533,0.2191887793783169,0.2788891145288037,0.17020678642911066
15,2.625,4,0.17926459438968917,0.14907758402830426,0.2187338893100834,0.27918626725393214,0.1701074159692171
15,3.0,1,0.17721758908263835,0.14671468284053577,0.2160576194086429,0.2777649012599733,0.16790725585936955
15,3.0,2,0.17642153146322972,0.14628506444275965,0.21227445034116754,0.27842345391530376,0.1663353928171832
15,3.0,3,0.17748294162244124,0.14652514531210514,0.21489764973464745,0.27776031324837236,0.1672763262649018
30,0.0,0,0.06921910538286581,0.15490270406873893,0.32920773313116,0.040858153723961156,0.2110370846089185
15,3.0,4,0.1768385140257771,0.1457417235279252,0.21202805155420773,0.27749456959938384,0.165650545513571
30,0.0,1,0.06948445792266869,0.15459944402324993,0.329090219863533,0.040932329085285865,0.21049182598797658
30,0.0,2,0.06887793783169067,0.15492797573919637,0.32886656557998484,0.039976112254353345,0.2103951036945837
30,0.375,0,0.09029567854435178,0.17294667677533485,0.3304359363153904,0.05920831979493846,0.22274018951391367
30,0.0,4,0.07084912812736922,0.1553070507960576,0.32916982562547387,0.04161177599672672,0.21133002268904164
30,0.0,3,0.06838514025777104,0.15420773313115996,0.3281690674753601,0.040610987761291024,0.20978483263005704
30,0.375,1,0.09075056861258529,0.1728834975991913,0.33079605761940867,0.06063902728136996,0.22315461623201854
30,0.375,2,0.09090219863532979,0.1721253474854688,0.3304321455648218,0.058763237541668165,0.22292577165518607
30,0.375,3,0.0897270659590599,0.1724412433661865,0.3312661106899166,0.05937478188141569,0.22287934342168808
30,0.375,4,0.08991660348749052,0.17282031842304776,0.33101213040181954,0.05910589431628097,0.22278865821472466
30,0.75,0,0.14848369977255496,0.19992418498862774,0.3229188779378317,0.12145482087199297,0.23783884787498827
30,0.75,1,0.14829416224412434,0.1984078847611827,0.32215314632297193,0.1217864664187636,0.2367011041882691
30,0.75,3,0.1492797573919636,0.1997093757897397,0.32188021228203184,0.12263670770304584,0.23738049990101712
30,0.75,4,0.14905231235784686,0.2004169825625474,0.32215693707354054,0.12195291346257989,0.23767228458854056
30,0.75,2,0.14874905231235785,0.2008971443012383,0.3221948445792267,0.12098225567710026,0.238077205610207
30,1.125,0,0.21125852918877938,0.19577963103361132,0.2837604245640637,0.2707722601297279,0.22332113469699794
30,1.125,2,0.20913570887035632,0.1950088450846601,0.2822554965883245,0.26785259997352495,0.22163851151788777
30,1.125,1,0.20784685367702804,0.19318928481172606,0.2796929492039424,0.2672830397005909,0.22004257400420327
30,1.125,3,0.20955269143290373,0.19537528430629264,0.2802122820318423,0.26731694585845456,0.22075818213870227
30,1.125,4,0.20928733889310083,0.19361890320950215,0.28043972706595904,0.26754254064527,0.220550905831234
30,1.5,0,0.20136467020470053,0.17738185494061157,0.2560121304018196,0.28501590009266276,0.20112633117454642
30,1.5,1,0.20420773313115997,0.17832954258276473,0.2591546626231994,0.2870135353863557,0.20323108401343504
30,1.5,4,0.20363912054586808,0.17763457164518576,0.2574677786201668,0.2883575520175217,0.20291025531262435
30,1.5,3,0.20318423047763456,0.17792519585544606,0.2564253222137983,0.2863613006486395,0.20153198798953342
30,1.5,2,0.19981046247156936,0.17878443265099822,0.2576535253980288,0.2860043082181065,0.2015414380413656
30,1.875,0,0.1947308567096285,0.16755117513267628,0.2429529946929492,0.2864069852100557,0.19040852225790486
30,1.875,1,0.1938210765731615,0.1673110942633308,0.24419636087945412,0.2874453951406188,0.1907566443141468
30,1.875,2,0.1949962092494314,0.16838514025777104,0.24509855951478393,0.28701932681083553,0.19220643673867507
30,1.875,3,0.1925322213798332,0.16633813495072025,0.24365428354814253,0.2853551421832316,0.1901962287319182
30,1.875,4,0.1947308567096285,0.1662875916098054,0.24482562547384382,0.28776371288975533,0.19064427003399206
30,2.25,0,0.1899166034874905,0.1598054081374779,0.2335481425322214,0.2851949528863858,0.18203990056224645
30,2.25,1,0.18904473085670964,0.16062673742734396,0.2365314632297195,0.28404360265713563,0.18440634273364204
30,2.25,3,0.18775587566338134,0.15916098054081373,0.23274450341167552,0.2839909082156997,0.18119528192019804
30,2.25,4,0.18786959818043972,0.15941369724538793,0.23303260045489008,0.28409003935160115,0.18217423802459226
30,2.25,2,0.18733889310083396,0.1574804144553955,0.23275208491281274,0.28300361324716905,0.1810869458924283
30,2.625,1,0.1850644427596664,0.15384129390952742,0.22875284306292645,0.2833367179320553,0.17721216107460105
30,2.625,0,0.18320697498104624,0.1546878948698509,0.22701667930250188,0.2824094281381999,0.1758466361530155
30,2.625,3,0.18498862774829417,0.15236290118776852,0.2216224412433662,0.28197520668616194,0.17328514712572798
30,2.625,2,0.18381349507202427,0.15379075056861258,0.22619408642911296,0.28310739256531525,0.17581366054422903
30,2.625,4,0.18332069749810462,0.1536391205458681,0.2251819560272934,0.28173189164470436,0.17525694380162782
30,3.0,0,0.17956785443517817,0.15138994187515795,0.22110310841546627,0.2804065730411447,0.17208170566016978
30,3.0,4,0.18214556482183472,0.15207227697750822,0.22299848369977254,0.28091492472652446,0.17400992307183483
30,3.0,1,0.18115996967399545,0.15083396512509478,0.22446171341925703,0.2806303175806587,0.1727568146190281
30,3.0,2,0.18013646702047006,0.14959565327268132,0.22148976497346476,0.2805842719953789,0.1713426389716673
30,3.0,3,0.17926459438968917,0.15112458933535508,0.22178165276724793,0.28011811497406647,0.17256352226298008
50,0.0,0,0.060310841546626234,0.13918372504422544,0.31856330553449586,0.035937383419377356,0.19566521465890963
50,0.0,1,0.05974222896133435,0.13987869598180439,0.31923805913570885,0.03430143386644524,0.19622136078817415
50,0.0,2,0.05943896891584534,0.13794541319181197,0.3180439727065959,0.03525981684055983,0.19466684308129908
50,0.0,3,0.060614101592115235,0.1397523376295173,0.3189461713419257,0.03577200440449114,0.19559355852920046
50,0.0,4,0.060424564063684606,0.13952489259540055,0.31907505686125853,0.03502615918745562,0.1960550514196079
50,0.375,1,0.07615617892342684,0.15684862269396008,0.3261751326762699,0.04725367642634511,0.21026827709118218
50,0.375,2,0.07452615617892343,0.15684862269396008,0.32627369219105384,0.045935172148212335,0.21057679090311865
50,0.375,0,0.07479150871872631,0.15740459944402324,0.32630401819560273,0.04659307796912042,0.21069431250105808
50,0.375,3,0.07475360121304019,0.1580616628759161,0.32651630022744504,0.047334124577301226,0.21094794925042315
50,0.375,4,0.07585291887793782,0.15775840283042708,0.32640257771038667,0.04660821088607291,0.21071136148759279
50,0.75,2,0.11031084154662624,0.18204447814000504,0.32610689916603486,0.0794966274354068,0.2270931887107853
50,0.75,1,0.11050037907505686,0.18262572656052564,0.32582638362395755,0.07945665908516553,0.22701814710984464
50,0.75,0,0.10985595147839272,0.1813747788728835,0.32549658832448825,0.07940762001034936,0.22659892740283566
50,0.75,3,0.1102729340409401,0.18385140257771038,0.3269560272934041,0.08068338808861933,0.22814990108807454
50,0.75,4,0.11046247156937074,0.18262572656052564,0.32565579984836995,0.08213444829536566,0.22700595844146632
50,1.125,0,0.19488248673237302,0.20198382613090726,0.2991205458680819,0.2147531198478886,0.23204274319495233
50,1.125,1,0.1958680818802123,0.2026408895628001,0.2987414708112206,0.21867000312887347,0.23157544230824206
50,1.125,2,0.19829416224412433,0.20168056608541823,0.2974867323730099,0.21934818645679144,0.23109830964879513
50,1.125,4,0.19855951478392722,0.2026282537275714,0.29827899924184986,0.21810292489500224,0.23184970124734477
50,1.5,0,0.20595147839272177,0.1856583270154157,0.2697384382107657,0.2818482917554183,0.21172510067567432
50,1.125,3,0.19821834723275208,0.20285569876168816,0.2977748294162244,0.21655705079605764,0.23233129088800922
50,1.5,1,0.2048521607278241,0.18438210765731614,0.26703563305534495,0.2797476443192895,0.20976897249653575
50,1.5,2,0.20553449583017439,0.18612585291887793,0.2699734647460197,0.279368855072987,0.21197379986921772
50,1.5,3,0.20519332827899925,0.1844831943391458,0.26704321455648217,0.28084983513243555,0.2095876366906757
50,1.5,4,0.20591357088703563,0.18580995703816022,0.27083017437452617,0.27906040530945764,0.2121039481464897
50,1.875,1,0.19727065959059895,0.17322466515036644,0.25261561789234266,0.28538626544881285,0.1979327989779897
50,1.875,0,0.19848369977255498,0.1747788728834976,0.2550265352539803,0.28433711505830533,0.1992698136852041
50,1.875,2,0.1969294920394238,0.17427343947434926,0.25396512509476876,0.2867037769113205,0.19875695309955907
50,2.25,1,0.19302501895375285,0.16509982309830679,0.2412092494313874,0.2842626238010999,0.18718749174591404
50,1.875,3,0.19931766489764974,0.17561283800859237,0.25493555724033357,0.28579786273872704,0.1994568092084492
50,1.875,4,0.1992797573919636,0.1714303765478898,0.2541470811220622,0.28596969505517644,0.1979499292742108
50,2.25,0,0.1929492039423806,0.16426585797321203,0.2392797573919636,0.28604350939263756,0.1868594250050041
50,2.25,3,0.1921910538286581,0.16413949962092494,0.24073919636087945,0.2845147989698786,0.1877785498169488
50,2.25,2,0.1944275966641395,0.16485974222896133,0.24251326762699013,0.2867429931285125,0.18824872608554416
50,2.25,4,0.1916224412433662,0.16295173110942635,0.240538286580743,0.28446046487839516,0.18697497516690617
50,2.625,0,0.18479909021986354,0.15839019459186252,0.2326762699014405,0.28042788849176264,0.18066700407183225
50,2.625,1,0.18730098559514785,0.15826383623957543,0.23534874905231234,0.28299233125142903,0.1818762176272996
50,2.625,2,0.1870735405610311,0.15692443770533232,0.23212661106899166,0.2837755273956942,0.17981916325313718
50,2.625,3,0.18703563305534496,0.1573414202678797,0.23164518574677787,0.2837417265364574,0.18030413595033276
50,2.625,4,0.18858984078847613,0.15859236795552187,0.23278999241849888,0.28385782579395163,0.18175371714422053
50,3.0,2,0.18301743745261562,0.15326004548900682,0.227592873388931,0.28059057487033223,0.17613233101615522
50,3.0,3,0.183434420015163,0.15313368713671974,0.22514783927217588,0.28156821245050967,0.17505850597525402
50,3.0,0,0.18426838514025778,0.15463735152893607,0.2273199393479909,0.28197380771869024,0.17733154306611115
50,3.0,1,0.18464746019711903,0.15507960576194085,0.22633813495072025,0.2823173820956232,0.17664177870634218
50,3.0,4,0.18381349507202427,0.1545362648471064,0.22600833965125094,0.2828284565026415,0.1756065773222532
100,0.0,3,0.0547005307050796,0.12421026029820571,0.2954624715693707,0.03242404960467887,0.17732247398316808
100,0.0,1,0.05261561789234268,0.12280768258781906,0.29311599696739954,0.03219636388798633,0.17525072138914174
100,0.0,0,0.0533737680060652,0.12429871114480667,0.29409021986353295,0.03230904846143663,0.17641432355157094
100,0.0,2,0.05307050796057619,0.12510740459944403,0.29355193328279,0.031981028195963754,0.17679656408908256
100,0.0,4,0.05507960576194086,0.1237427343947435,0.294764973464746,0.034094822917794865,0.1764869984923596
100,0.375,2,0.06512509476876421,0.13997978266363406,0.3126762699014405,0.039818735935111975,0.19444370132960276
100,0.375,3,0.06546626231993935,0.14201415213545615,0.3142645943896892,0.03950646533569203,0.19593472300489032
100,0.375,0,0.06368460955269144,0.14052312357846855,0.31480288097043213,0.038760048497539015,0.19512134771934891
100,0.375,1,0.06448066717210008,0.13984078847611828,0.31315011372251705,0.03868199212967978,0.1949430773515882
100,0.375,4,0.06497346474601971,0.139764973464746,0.3145754359363154,0.039292393227192315,0.19507042742497868
100,0.75,1,0.08419257012888552,0.16197877179681577,0.32335102350265355,0.05554334091483447,0.2134398587515686
100,0.75,0,0.08616376042456407,0.16225676017184737,0.3233206974981046,0.054674371517623985,0.21366020484490322
100,0.75,2,0.08472327520849128,0.16286328026282537,0.32330932524639877,0.054774630853099394,0.21361728216070802
100,0.75,3,0.08612585291887793,0.16264847106393732,0.32335860500379077,0.05636295534134807,0.21405674178557668
100,1.125,1,0.14211523881728583,0.19449077584028304,0.32017058377558755,0.11643893582199114,0.23303312463763054
100,0.75,4,0.08453373768006066,0.16285064442759667,0.3233358605003791,0.056071804637953235,0.21352867410529153
100,1.125,0,0.1387035633055345,0.19341672984584282,0.32061410159211523,0.11625666389881703,0.23276569060198823
100,1.125,2,0.139461713419257,0.19437705332322466,0.3205231235784685,0.11466870043443207,0.23245014389818622
100,1.125,3,0.13832448824867324,0.19461713419257012,0.320185746777862,0.11437147249599866,0.23245817578600764
100,1.125,4,0.14018195602729341,0.19226686884003033,0.31851023502653525,0.11592334861667689,0.23125845175422316
100,1.5,0,0.2026535253980288,0.19553955016426586,0.28633813495072025,0.25512204110858394,0.22284288543706327
100,1.5,3,0.20341167551175132,0.19519838261309072,0.28702426080363913,0.25272914485480824,0.2233343717507526
100,1.5,2,0.20511751326762698,0.19684104119282284,0.28743745261561787,0.2567151341203654,0.22463526210028428
100,1.5,1,0.2048521607278241,0.1969168562041951,0.2870128885519333,0.256379833206975,0.22337100810154356
100,1.875,0,0.2026156178923427,0.18273944907758402,0.26553828658074297,0.2786036649939228,0.20852601333907836
100,1.5,4,0.20416982562547384,0.1950341167551175,0.28637225170583774,0.25485559045452905,0.2226211704159073
100,1.875,3,0.20401819560272935,0.18411675511751327,0.2644655041698256,0.27890775238576604,0.2085587388449352
100,1.875,1,0.20386656557998484,0.1853550669699267,0.2659363153904473,0.28198821858791534,0.20941520017078377
100,1.875,2,0.2037907505686126,0.18522870861763963,0.2690940106141016,0.27926632429570264,0.21094569612562322
100,1.875,4,0.2047005307050796,0.18728834975991912,0.2701516300227445,0.2781319572307063,0.21225932112318913
100,2.25,0,0.1992797573919636,0.17499368208238564,0.255420773313116,0.2838985914052252,0.19912745548092886
100,2.25,1,0.19893858984078847,0.17362901187768512,0.2546626231993935,0.28260185385754,0.19843665315785203
100,2.25,2,0.19643669446550416,0.1716957290876927,0.25546626231993935,0.28166256002021733,0.19728670539866355
100,2.25,3,0.1995830174374526,0.1766742481678039,0.25173237300985596,0.2846294992599011,0.1986734505794888
100,2.625,1,0.19313874147081123,0.16766489764973463,0.24164139499620924,0.2832023568841234,0.1891654599798526
100,2.625,2,0.1922289613343442,0.16785443517816528,0.24438210765731616,0.28337925857732527,0.19125304301415372
100,2.625,0,0.19423805913570888,0.17089967146828405,0.24717968157695225,0.28386746813964403,0.1932950760358947
100,2.25,4,0.20064442759666415,0.17380591357088704,0.25205458680818804,0.28548763794120124,0.19835079107806752
100,2.625,3,0.19169825625473844,0.16537781147333838,0.24315390447308566,0.2819913775467225,0.18927797455678724
100,2.625,4,0.19302501895375285,0.16623704826889057,0.2452653525398029,0.28417707618806937,0.19033826826644776
100,3.0,0,0.18756633813495072,0.16297700277988375,0.23962850644427597,0.2823540109751254,0.1864939615314528
100,3.0,2,0.1895754359363154,0.162143037654789,0.2390068233510235,0.28340290564039616,0.185577495772219
100,3.0,3,0.1893100833965125,0.16191559262067223,0.23854435178165276,0.2824282013791112,0.18504584241909122
100,3.0,4,0.18877937831690675,0.16163760424564064,0.2362926459438969,0.282666777982358,0.1845590181076103
100,3.0,1,0.18927217589082637,0.16306545362648472,0.23881349507202426,0.2826638296208046,0.18634292110030626
150,0.0,0,0.04890068233510235,0.11498610058124842,0.27820697498104624,0.028902938734250334,0.1648189149426736
150,0.0,2,0.0488248673237301,0.1140889562800101,0.27671341925701287,0.0286186173989434,0.16405876971370326
150,0.0,1,0.05064442759666414,0.11623704826889057,0.27854056103108416,0.03085831919323201,0.165780924703965
150,0.0,3,0.0478013646702047,0.11344452868334597,0.2773881728582259,0.02725614342274691,0.16405043348215068
150,0.0,4,0.04689158453373768,0.11167551175132676,0.2752767247915087,0.02779367787044057,0.16196255572265686
150,0.375,0,0.06254738438210766,0.13311852413444528,0.3062206216830933,0.037555236651142646,0.18788146570175593
150,0.375,1,0.06068991660348749,0.1338640384129391,0.3059325246398787,0.036281363948156974,0.18785889894895674
150,0.75,0,0.07657316148597422,0.15179428860247662,0.31823730098559516,0.0488180379556422,0.20515463919991062
150,0.375,4,0.06285064442759666,0.1332575183219611,0.30561789234268383,0.03831959938385261,0.1874356769274939
150,0.375,2,0.06152388172858226,0.13448319433914582,0.3059742228961334,0.03736691757825192,0.18815140732455407
150,0.375,3,0.06141015921152388,0.1326889057366692,0.30537907505686124,0.03677452254594028,0.18710616051608958
150,0.75,1,0.07577710386656558,0.15266616123325752,0.31826762699014405,0.04686178502232331,0.2047106075048022
150,0.75,2,0.07824109173616375,0.1541066464493303,0.31835860500379076,0.048892769895423425,0.20577777952649665
150,0.75,3,0.07554965883244882,0.1536391205458681,0.3180970432145565,0.04802986269059051,0.2054634414983691
150,0.75,4,0.07729340409401061,0.15413191811978771,0.31860121304018196,0.04871616905544124,0.20586124540673173
150,1.125,0,0.11243366186504929,0.1808061662875916,0.3227179681576952,0.0839148374790907,0.22497473892590292
150,1.125,1,0.11322971948445792,0.1803512762193581,0.32323730098559517,0.08398451508478043,0.2249485245665268
150,1.125,2,0.11118271417740713,0.18171594642405864,0.3239689158453374,0.08397330830234544,0.22542740128354688
150,1.125,3,0.11201667930250189,0.1797447561283801,0.3233623957543594,0.08407943427560563,0.2245420399641666
150,1.125,4,0.1101213040181956,0.1803386403841294,0.32407884761182715,0.08295186649337521,0.22493698136908996
