rank,p_standard,p_smooth_gamma0.5
1,0.15268656978802583,0.05421738991858134
2,0.11976252866268897,0.048017402773214854
3,0.07835140617212362,0.03883842275425482
4,0.06996531643803086,0.03670114288010402
5,0.05947490722125789,0.03383803020374807
6,0.059119980570037284,0.03373691201013246
7,0.051032290266059356,0.031344454555319576
8,0.03841435626862622,0.02719474350858853
9,0.024631245672914442,0.021776163822683287
10,0.024128526054758393,0.021552794276557295
11,0.017722742949109024,0.01847156346289016
12,0.016254037029552765,0.017689632457004178
13,0.013724725077657441,0.016255113789909962
14,0.0103649373504951,0.014126075653459759
15,0.010353157368322187,0.01411804607154558
16,0.01015512597350892,0.013982371754804771
17,0.009796137823568127,0.013733006653024231
18,0.008849057457739555,0.013052289402458717
19,0.008354672128497536,0.0126824422278812
20,0.007789957071362806,0.012246323265988892
21,0.007429374875451351,0.011959535809039024
22,0.007059031767662986,0.011657643102243244
23,0.007058445741122229,0.011657159195223164
24,0.006532768609500782,0.011214678426880415
25,0.006393939878823979,0.011094876217764955
26,0.0062731608162224515,0.010989587662126472
27,0.006035811999395283,0.010779684229036976
28,0.005949490038123325,0.010702323097568961
29,0.005825548204643408,0.010590259139547215
30,0.0057775121492548735,0.010546506407075612
31,0.005480674222777001,0.010272004029161176
32,0.005334235834357927,0.010133845841417142
33,0.004829411851532303,0.009642403671057604
34,0.004800511856240502,0.0096135095141418
35,0.004718143483128429,0.009530677171959582
36,0.004660266764422625,0.009472041143822671
37,0.00437973978245457,0.009182529689114807
38,0.003907509938005117,0.008673377174701971
39,0.0039026323051639003,0.008667962120041705
40,0.0038469902725803674,0.008605948269510874
41,0.00379906436812062,0.008552173700144716
42,0.003666985309950824,0.00840219530347286
43,0.0033883263388571456,0.008076641441058475
44,0.003335766003676072,0.008013753438934922
45,0.0032332105258979674,0.00788960352312952
46,0.003172114476099008,0.007814705444848413
47,0.003127584961751184,0.007759660943018452
48,0.002972344158290172,0.007564630752081113
49,0.0029374291097789165,0.007520070019264074
50,0.0027144260411457485,0.007228982837476434
51,0.0027096531652832504,0.007222624547084004
52,0.0026899979195271965,0.007196381181030123
53,0.0026622452030574707,0.007159162392622915
54,0.002654257554616134,0.007148414353658335
55,0.0024744362869423783,0.006902021774185156
56,0.002470960636448056,0.006897172701020312
57,0.0024528626387385274,0.006871867882724311
58,0.002304948160789478,0.006661449936041241
59,0.00225402851921808,0.006587458473059688
60,0.002185356454832789,0.006486334324098759
61,0.0021605363106365406,0.006449394930876338
62,0.002124494422058093,0.0063953745553099375
63,0.001997440631896255,0.006201191272551172
64,0.0019964781574264684,0.006199697058569334
65,0.0019102697772063878,0.006064367888748012
66,0.0018162822682210368,0.005913299264825584
67,0.0017790619917100164,0.005852396310228237
68,0.0016914922994264556,0.0057065443862916575
69,0.001638251144041953,0.0056160171722535995
70,0.0015683368829704219,0.005494875604546209
71,0.001529411040825398,0.005426256232157507
72,0.0015175012686888885,0.005405087371048236
73,0.001448657322947454,0.005281059008808834
74,0.0014416059159384573,0.005268190429725531
75,0.001394221078986186,0.005180885679877279
76,0.0013642775059533171,0.005124948981994157
77,0.001311302726615574,0.0050244631944298904
78,0.0012589086606335054,0.00492306191544042
79,0.001247299270333591,0.004900309620111333
80,0.0010937455025274011,0.004588770389449525
81,0.0010354095740400236,0.004464720488890794
82,0.0010286415193111512,0.004450104526625883
83,0.0009846013695339268,0.004353799296795771
84,0.0009573875604857771,0.004293209456359363
85,0.000953348218902093,0.004284143081022161
86,0.0009079827298749157,0.0041809693248921875
87,0.0008994678982880411,0.0041613191131217656
88,0.0008773745331324718,0.0041098947413238185
89,0.0008699267177537048,0.004092413624133998
90,0.0008634101314140514,0.004077056757050636
