seed,perplexity,gamma,global_spearman
191664964,30,0.0,0.6498494544370444
191664964,30,0.5,0.6656903774336321
191664964,30,0.7,0.6657526205113079
191664964,30,1.0,0.6615279084320801
191664964,30,1.2,0.6746929771056716
191664964,30,1.5,0.6436510611938394
191664964,30,2.0,0.6056334292828095
1662057958,30,0.0,0.6485393154415799
1662057958,30,0.5,0.6640120401200681
1662057958,30,0.7,0.6605262324859347
1662057958,30,1.0,0.6619926607613529
1662057958,30,1.2,0.6736054539065828
1662057958,30,1.5,0.6503198380968123
1662057958,30,2.0,0.6158615840430335
1405681632,30,0.0,0.6543959525648716
1405681632,30,0.5,0.6556838640465092
1405681632,30,0.7,0.6724397278033313
1405681632,30,1.0,0.6669112137611755
1405681632,30,1.2,0.6700578727835841
1405681632,30,1.5,0.6474700846596029
1405681632,30,2.0,0.6040497475354631
942484272,30,0.0,0.656022494128741
942484272,30,0.5,0.6659342172386038
942484272,30,0.7,0.6691207379502118
942484272,30,1.0,0.6656216037362436
942484272,30,1.2,0.6647225395960786
942484272,30,1.5,0.6527710249125664
942484272,30,2.0,0.5926229403792814
929893138,30,0.0,0.6574888579675381
929893138,30,0.5,0.6651345445069641
929893138,30,0.7,0.6660376418371715
929893138,30,1.0,0.6676504869008442
929893138,30,1.2,0.6769068917845015
929893138,30,1.5,0.6430925774995342
929893138,30,2.0,0.6241886244860501
1843824993,30,0.0,0.6463528507573472
1843824993,30,0.5,0.6634615803196435
1843824993,30,0.7,0.6694214177613329
1843824993,30,1.0,0.6620912249060447
1843824993,30,1.2,0.6681716720278781
1843824993,30,1.5,0.6436473452045945
1843824993,30,2.0,0.5621751835321431
184566854,30,0.0,0.6491208412048656
184566854,30,0.5,0.6555487978834533
184566854,30,0.7,0.6739505485234294
184566854,30,1.0,0.6621882749012009
184566854,30,1.2,0.6673998711337699
184566854,30,1.5,0.6457268927407505
184566854,30,2.0,0.6265327164561467
1497586439,30,0.0,0.6463979405827679
1497586439,30,0.5,0.6609200443579479
1497586439,30,0.7,0.6731304796614993
1497586439,30,1.0,0.6722988088931433
1497586439,30,1.2,0.6633160558889453
1497586439,30,1.5,0.6482990026752534
1497586439,30,2.0,0.5899478880243646
432652533,30,0.0,0.6489971023563006
432652533,30,0.5,0.66331914610701
432652533,30,0.7,0.6684960684545889
432652533,30,1.0,0.662467100673845
432652533,30,1.2,0.6722797909699237
432652533,30,1.5,0.6472837755032157
432652533,30,2.0,0.601557197473661
202244314,30,0.0,0.6530842194374628
202244314,30,0.5,0.6677424145487171
202244314,30,0.7,0.6725047267571829
202244314,30,1.0,0.6744154590223325
202244314,30,1.2,0.6612531071095847
202244314,30,1.5,0.6464809610230677
202244314,30,2.0,0.6187620273038196
191664964,50,0.0,0.6573460906148658
191664964,50,0.5,0.669800899603793
191664964,50,0.7,0.6674347908586232
191664964,50,1.0,0.6643940088876656
191664964,50,1.2,0.6687051513162687
191664964,50,1.5,0.6664274222281186
191664964,50,2.0,0.626633621416453
1662057958,50,0.0,0.6356590115873887
1662057958,50,0.5,0.6623761364263988
1662057958,50,0.7,0.6639663990239497
1662057958,50,1.0,0.666251202648989
1662057958,50,1.2,0.6616121568246356
1662057958,50,1.5,0.6655322975287307
1662057958,50,2.0,0.6232729528044751
1405681632,50,0.0,0.6514268709165899
1405681632,50,0.5,0.6640921753591887
1405681632,50,0.7,0.6563383156918756
1405681632,50,1.0,0.6705726117210549
1405681632,50,1.2,0.6711988419529187
1405681632,50,1.5,0.6581607030739687
1405681632,50,2.0,0.6274277330683781
942484272,50,0.0,0.6495939458156875
942484272,50,0.5,0.6589251081887417
942484272,50,0.7,0.6583125258850803
942484272,50,1.0,0.6713166759016509
942484272,50,1.2,0.6655918229971453
942484272,50,1.5,0.6532147945664332
942484272,50,2.0,0.6335397072973987
929893138,50,0.0,0.6381733754540373
929893138,50,0.5,0.6691205519327919
929893138,50,0.7,0.6624661562872103
929893138,50,1.0,0.6684956592839557
929893138,50,1.2,0.6644434218574855
929893138,50,1.5,0.6605365374511022
929893138,50,2.0,0.6306576039372861
1843824993,50,0.0,0.6415224675432484
1843824993,50,0.5,0.6560333030746619
1843824993,50,0.7,0.6580925483058092
1843824993,50,1.0,0.6634429497180333
1843824993,50,1.2,0.6722754767473855
1843824993,50,1.5,0.6605109703529033
1843824993,50,2.0,0.6256260342733798
184566854,50,0.0,0.6588367379639448
184566854,50,0.5,0.6595187966222532
184566854,50,0.7,0.6559811111761069
184566854,50,1.0,0.6646591662248346
184566854,50,1.2,0.670773271564444
184566854,50,1.5,0.6541959080500404
184566854,50,2.0,0.6248234141675467
1497586439,50,0.0,0.6443208068497869
1497586439,50,0.5,0.6665689966045867
1497586439,50,0.7,0.663880819535012
1497586439,50,1.0,0.6580422891496699
1497586439,50,1.2,0.6705064898990264
1497586439,50,1.5,0.6629944263325473
1497586439,50,2.0,0.6208517732293838
432652533,50,0.0,0.6612117518429742
432652533,50,0.5,0.6707881205312108
432652533,50,0.7,0.6640448549961793
432652533,50,1.0,0.6691970645859228
432652533,50,1.2,0.6688001455131058
432652533,50,1.5,0.6655462696767762
432652533,50,2.0,0.613386091174396
202244314,50,0.0,0.6356394176457415
202244314,50,0.5,0.663871916577772
202244314,50,0.7,0.6646900174902632
202244314,50,1.0,0.6698963572461851
202244314,50,1.2,0.6738893257517629
202244314,50,1.5,0.6679741354550598
202244314,50,2.0,0.6237842046907389
191664964,100,0.0,0.6536280249065235
191664964,100,0.5,0.6735483567805005
191664964,100,0.7,0.668128297606532
191664964,100,1.0,0.6729681076239739
191664964,100,1.2,0.6761357059155522
191664964,100,1.5,0.6766864224059046
191664964,100,2.0,0.6577215479151024
1662057958,100,0.0,0.6630930010037068
1662057958,100,0.5,0.6631022222955659
1662057958,100,0.7,0.6631394476217831
1662057958,100,1.0,0.6776257148349706
1662057958,100,1.2,0.6756479857700569
1662057958,100,1.5,0.6745998526436665
1662057958,100,2.0,0.6542924969300035
1405681632,100,0.0,0.6550099105054213
1405681632,100,0.5,0.6563066512218242
1405681632,100,0.7,0.6760491477621775
1405681632,100,1.0,0.6633282391323888
1405681632,100,1.2,0.6742846982499386
1405681632,100,1.5,0.6714268408475911
1405681632,100,2.0,0.6606117914173143
942484272,100,0.0,0.6536091569795144
942484272,100,0.5,0.6662378656251732
942484272,100,0.7,0.6661467868797237
942484272,100,1.0,0.6684873690714315
942484272,100,1.2,0.6698529665285485
942484272,100,1.5,0.6719249534919274
942484272,100,2.0,0.6518524507863556
929893138,100,0.0,0.6756822718590864
929893138,100,0.5,0.6707910510384901
929893138,100,0.7,0.6750158863610494
929893138,100,1.0,0.6716770982006292
929893138,100,1.2,0.6685101251590007
929893138,100,1.5,0.674923305379677
929893138,100,2.0,0.6431353232009397
1843824993,100,0.0,0.6751747408029753
1843824993,100,0.5,0.6637909122111816
1843824993,100,0.7,0.6548677243648185
1843824993,100,1.0,0.671725529905661
1843824993,100,1.2,0.6722819501283672
1843824993,100,1.5,0.6771902418045945
1843824993,100,2.0,0.6542964600180902
184566854,100,0.0,0.651794862370426
184566854,100,0.5,0.6708268875602084
184566854,100,0.7,0.6649891176463182
184566854,100,1.0,0.6753718653597092
184566854,100,1.2,0.6745313426694
184566854,100,1.5,0.6749240332005233
184566854,100,2.0,0.6402730744335939
1497586439,100,0.0,0.6572136490298273
1497586439,100,0.5,0.6707299079075718
1497586439,100,0.7,0.6715165048649342
1497586439,100,1.0,0.6754291443313751
1497586439,100,1.2,0.6765891709225826
1497586439,100,1.5,0.6785107225414364
1497586439,100,2.0,0.6578725599900238
432652533,100,0.0,0.6725144416892509
432652533,100,0.5,0.6610110549657845
432652533,100,0.7,0.675718651454079
432652533,100,1.0,0.675906742625765
432652533,100,1.2,0.6720232164218046
432652533,100,1.5,0.673033975733935
432652533,100,2.0,0.657175398569546
202244314,100,0.0,0.6738772294581312
202244314,100,0.5,0.6711097790040856
202244314,100,0.7,0.6725171395726494
202244314,100,1.0,0.6765800067269836
202244314,100,1.2,0.6740585486469984
202244314,100,1.5,0.6759699158694301
202244314,100,2.0,0.6464815800255962
191664964,200,0.0,0.6884383001612082
191664964,200,0.5,0.6844897636261499
191664964,200,0.7,0.6861837793423051
191664964,200,1.0,0.6610868502855202
191664964,200,1.2,0.6775090069973323
191664964,200,1.5,0.6744820951759782
191664964,200,2.0,0.6740467982185478
1662057958,200,0.0,0.6840734398963384
1662057958,200,0.5,0.6898921288083097
1662057958,200,0.7,0.6651541369982003
1662057958,200,1.0,0.6641777791109724
1662057958,200,1.2,0.6809982554475771
1662057958,200,1.5,0.677228536050377
1662057958,200,2.0,0.6695732777754262
1405681632,200,0.0,0.6926263666164308
1405681632,200,0.5,0.669698073237004
1405681632,200,0.7,0.6860885281123361
1405681632,200,1.0,0.6790275529920355
1405681632,200,1.2,0.6674613836169005
1405681632,200,1.5,0.6774332075596013
1405681632,200,2.0,0.6774307754064176
942484272,200,0.0,0.6847056801727609
