model,group,k,no_mean,no_std,trust_mean,trust_std
dur_3s_backheavy,duration,1,0.6624,0.0,0.9947700689348454,0.0
dur_3s_backheavy,duration,2,0.6043,0.0,0.9889864842316035,0.0
dur_3s_backheavy,duration,3,0.5564666666666667,0.0,0.985351066592469,0.0
dur_3s_backheavy,duration,4,0.5241,0.0,0.9822753187461722,0.0
dur_3s_backheavy,duration,5,0.49812,0.0,0.9789624777183601,0.0
dur_3s_backheavy,duration,6,0.4802666666666667,0.0,0.9763322001151795,0.0
dur_3s_backheavy,duration,7,0.4661142857142857,0.0,0.973740779684239,0.0
dur_3s_backheavy,duration,8,0.45685,0.0,0.9710406136680614,0.0
dur_3s_backheavy,duration,9,0.4484888888888889,0.0,0.96861196695691,0.0
dur_3s_backheavy,duration,10,0.44056,0.0,0.966450773440554,0.0
dur_3s_backheavy,duration,11,0.4360727272727273,0.0,0.964665437479048,0.0
dur_3s_backheavy,duration,12,0.43141666666666667,0.0,0.9634082676505115,0.0
dur_3s_backheavy,duration,13,0.42830769230769233,0.0,0.9618593013250731,0.0
dur_3s_backheavy,duration,14,0.4259142857142857,0.0,0.9601565025540181,0.0
dur_3s_backheavy,duration,15,0.42414666666666667,0.0,0.9585834956891726,0.0
dur_3s_backheavy,duration,16,0.4222375,0.0,0.9570884935304991,0.0
dur_3s_backheavy,duration,17,0.4208235294117647,0.0,0.9557425597004101,0.0
dur_3s_backheavy,duration,18,0.4188777777777778,0.0,0.9546268697629505,0.0
dur_3s_backheavy,duration,19,0.41705263157894734,0.0,0.953342202696239,0.0
dur_3s_backheavy,duration,20,0.41607,0.0,0.9520680024695516,0.0
dur_3s_backheavy,duration,21,0.41572380952380955,0.0,0.9507479356522484,0.0
dur_3s_backheavy,duration,22,0.41560909090909093,0.0,0.9497028127218587,0.0
dur_3s_backheavy,duration,23,0.41528695652173914,0.0,0.9484982476721168,0.0
dur_3s_backheavy,duration,24,0.41546666666666665,0.0,0.9474124065013216,0.0
dur_3s_backheavy,duration,25,0.415736,0.0,0.9464698266936754,0.0
dur_3s_backheavy,duration,26,0.41657692307692307,0.0,0.9453948787237083,0.0
dur_3s_backheavy,duration,27,0.4172518518518519,0.0,0.9442971766404232,0.0
dur_3s_backheavy,duration,28,0.4170857142857143,0.0,0.9432552389002938,0.0
dur_3s_backheavy,duration,29,0.41701379310344827,0.0,0.9422718219712877,0.0
dur_3s_backheavy,duration,30,0.41741333333333336,0.0,0.9414671405201106,0.0
dur_3s_backheavy,duration,31,0.4178903225806452,0.0,0.9405284802406155,0.0
dur_3s_backheavy,duration,32,0.4185,0.0,0.9396497190693998,0.0
dur_3s_backheavy,duration,33,0.41864242424242426,0.0,0.9388181099126862,0.0
dur_3s_backheavy,duration,34,0.4194529411764706,0.0,0.9378824526927949,0.0
dur_3s_backheavy,duration,35,0.42038285714285717,0.0,0.9370505146476643,0.0
dur_3s_backheavy,duration,36,0.4207722222222222,0.0,0.9362308009078506,0.0
dur_3s_backheavy,duration,37,0.4211783783783784,0.0,0.9355326270564043,0.0
dur_3s_backheavy,duration,38,0.421421052631579,0.0,0.9346664192341516,0.0
dur_3s_backheavy,duration,39,0.42217948717948717,0.0,0.9339221411404343,0.0
dur_3s_backheavy,duration,40,0.42283,0.0,0.9330959942167035,0.0
dur_3s_backheavy,duration,41,0.42345365853658534,0.0,0.932455771582903,0.0
dur_3s_backheavy,duration,42,0.4238571428571429,0.0,0.9317808967051262,0.0
dur_3s_backheavy,duration,43,0.4244697674418605,0.0,0.9310370719596424,0.0
dur_3s_backheavy,duration,44,0.42501363636363637,0.0,0.9302384265356823,0.0
dur_3s_backheavy,duration,45,0.42564,0.0,0.9294169900459806,0.0
dur_3s_backheavy,duration,46,0.42614347826086957,0.0,0.9286517139826265,0.0
dur_3s_backheavy,duration,47,0.42669787234042555,0.0,0.92785906646424,0.0
dur_3s_backheavy,duration,48,0.4272208333333333,0.0,0.926999387987475,0.0
dur_3s_backheavy,duration,49,0.42780408163265304,0.0,0.9261804255536801,0.0
dur_3s_backheavy,duration,50,0.428652,0.0,0.92548640793298,0.0
dur_3s_backheavy,duration,51,0.42934901960784316,0.0,0.9248566116376987,0.0
dur_3s_backheavy,duration,52,0.4299076923076923,0.0,0.9242307143766154,0.0
dur_3s_backheavy,duration,53,0.43044150943396225,0.0,0.9235616244507625,0.0
dur_3s_backheavy,duration,54,0.43091851851851853,0.0,0.9229092189671254,0.0
dur_3s_backheavy,duration,55,0.43148363636363635,0.0,0.9222745016153998,0.0
dur_3s_backheavy,duration,56,0.4319678571428571,0.0,0.9215217086834734,0.0
dur_3s_backheavy,duration,57,0.43235438596491227,0.0,0.9209297462943563,0.0
dur_3s_backheavy,duration,58,0.43315862068965516,0.0,0.9203301327018893,0.0
dur_3s_backheavy,duration,59,0.43393898305084744,0.0,0.9197332308582098,0.0
dur_3s_backheavy,duration,60,0.43449,0.0,0.919005176528995,0.0
dur_3s_backheavy,duration,61,0.43505901639344263,0.0,0.9183252136559407,0.0
dur_3s_backheavy,duration,62,0.4354967741935484,0.0,0.9176906322314279,0.0
dur_3s_backheavy,duration,63,0.435952380952381,0.0,0.9170623282244624,0.0
dur_3s_backheavy,duration,64,0.43658125,0.0,0.9164964733654785,0.0
dur_3s_backheavy,duration,65,0.4371723076923077,0.0,0.9159068652918412,0.0
dur_3s_backheavy,duration,66,0.4376,0.0,0.9152572405663252,0.0
dur_3s_backheavy,duration,67,0.4380955223880597,0.0,0.9147352578260817,0.0
dur_3s_backheavy,duration,68,0.43873529411764706,0.0,0.9140974335549578,0.0
dur_3s_backheavy,duration,69,0.4394144927536232,0.0,0.9134362789254544,0.0
