rank,p_standard,p_smooth_gamma0.5
1,0.12544419859054465,0.05009990798017947
2,0.11186391561885006,0.04731040284439414
3,0.091568565512238,0.04280404804695357
4,0.0754296192759719,0.03884924609639545
5,0.05558286448642951,0.033348945024881615
6,0.04437315002949937,0.02979694694095559
7,0.04263932704888711,0.029209008053448376
8,0.039316650091048504,0.02804787034868158
9,0.036596659548516326,0.027060284637169155
10,0.03630567310562809,0.026952489406088652
11,0.025781823236031554,0.022712683588565343
12,0.021821663553197066,0.020895634604551724
13,0.02056401596648187,0.020284560561560493
14,0.019677877205507368,0.01984269973610841
15,0.017177610672583946,0.018539286467451004
16,0.01682029071872119,0.01834545073002447
17,0.014554564775452661,0.017065194761843587
18,0.010377902521161497,0.014410081300206377
19,0.00945323954808318,0.013753143331758175
20,0.00907842109311822,0.013477731465691171
21,0.0077435129576727615,0.012447457503368635
22,0.007651167294081652,0.012373013492638574
23,0.006934332544525225,0.01177915048053939
24,0.0067337480754257545,0.011607536814185563
25,0.0061541680101685065,0.011096763027448
26,0.005682986736916681,0.010663504554209184
27,0.005653680331753677,0.01063597387946061
28,0.005541264644853499,0.01052970207600004
29,0.005261580171007934,0.010260528560963081
30,0.0048461547994234026,0.009847143771624947
31,0.004274723404897234,0.009248379599396372
32,0.003962920945420239,0.00890470101138158
33,0.0037685600531051377,0.008683590956205125
34,0.003552628913502729,0.008431145041178024
35,0.0035237195711205604,0.008396770955724974
36,0.003420301209092584,0.008272634074266497
37,0.0032840412562747763,0.00810617433637932
38,0.0032491653102761043,0.008063016368415698
39,0.003201250654883986,0.008003343880758886
40,0.0031896798328093904,0.007988866867033071
41,0.003121150480927013,0.00790258164631464
42,0.0029660356817242947,0.0077037081806506
43,0.00293996647587013,0.007669778583893327
44,0.0028658063296259956,0.0075724263196299295
45,0.0028430999644765997,0.007542367725882186
46,0.0027446538065021083,0.007410635013544562
47,0.002585332669385759,0.007192334124146449
48,0.002580027231627898,0.00718495053321995
49,0.002431736349867276,0.006975412268945818
50,0.0023675892220588876,0.006882794684930395
51,0.0022219534423343996,0.006667747034079886
52,0.0020672064197325376,0.006431370955924028
53,0.0020057356160625905,0.0063350271534907444
54,0.002002831871489066,0.006330439818248277
55,0.0019852954833743074,0.006302664865496547
56,0.0018768105980096208,0.006128043805119688
57,0.0017851244764959299,0.005976485771893901
58,0.0017163080420045252,0.005860157065396243
59,0.0017023143172084033,0.005836218103489703
60,0.0015695154947360976,0.00560395244602505
61,0.0015534128645043968,0.005575131124356528
62,0.0015262750207846098,0.0055262182888378315
63,0.0014644684881806608,0.0054131698357830485
64,0.0014504830354772384,0.005387260352620606
65,0.0014437889455453988,0.005374814667685434
66,0.0014326256610866996,0.005353995483563543
67,0.0014310087030390188,0.005350973190137458
68,0.0012924694050112004,0.005085360825921458
69,0.0012287423034536978,0.004958405524702568
70,0.0011833824379532426,0.004866023449021187
71,0.0011760016921743555,0.004850825041305292
72,0.0011672168197080983,0.004832672958295712
73,0.0011389468064363357,0.004773790524668211
74,0.0011021814363696258,0.004696109161465819
75,0.0009971830303400545,0.004466826429728812
76,0.000979384172089792,0.004426782435154147
77,0.0009569586795081648,0.004375807722730657
78,0.0008955301022068551,0.004233033757528741
79,0.0008691481013493878,0.004170215809868627
80,0.0008539222573684294,0.004133527242952058
81,0.0008474321108648815,0.004117789061804164
82,0.0008412478584028899,0.004102736483245493
83,0.0008162127033680995,0.004041227618761512
84,0.0007620899573967258,0.003904943520955169
85,0.000724830316380909,0.003808288246108848
86,0.0007164048345865166,0.003786089634301952
87,0.0006956441106500741,0.0037308277112642345
88,0.0006764037515416627,0.0036788716932517453
89,0.0006705877085055358,0.0036630211977915312
90,0.0006699033970385354,0.003661151727779731
